==========================================
   AVIATOR TRACKER - BASE DE DATOS HISTÓRICA   
==========================================

Fecha Generación: 4/1/2026, 4:07:36
Total Registros: 156

------------------------------------------
ID    | FECHA      | HORA      | RESULTADO
------------------------------------------
1     | 4/1/2026   | 3:06:32   | 5.27x
2     | 4/1/2026   | 3:06:35   | 1.83x
3     | 4/1/2026   | 3:06:54   | 2.08x
4     | 4/1/2026   | 3:07:13   | 2.13x
5     | 4/1/2026   | 3:07:30   | 1.80x
6     | 4/1/2026   | 3:08:14   | 4.33x
7     | 4/1/2026   | 3:08:24   | 1.01x
8     | 4/1/2026   | 3:08:34   | 1.11x
9     | 4/1/2026   | 3:08:54   | 2.28x
10    | 4/1/2026   | 3:09:09   | 1.54x
11    | 4/1/2026   | 3:09:20   | 1.12x
12    | 4/1/2026   | 3:09:55   | 8.03x
13    | 4/1/2026   | 3:10:21   | 3.81x
14    | 4/1/2026   | 3:10:32   | 1.08x
15    | 4/1/2026   | 3:11:11   | 11.68x
16    | 4/1/2026   | 3:11:28   | 1.87x
17    | 4/1/2026   | 3:11:48   | 2.26x
18    | 4/1/2026   | 3:12:06   | 1.99x
19    | 4/1/2026   | 3:12:18   | 1.23x
20    | 4/1/2026   | 3:12:47   | 4.76x
21    | 4/1/2026   | 3:13:11   | 3.29x
22    | 4/1/2026   | 3:13:32   | 2.51x
23    | 4/1/2026   | 3:13:46   | 1.46x
24    | 4/1/2026   | 3:14:07   | 2.52x
25    | 4/1/2026   | 3:14:36   | 4.74x
26    | 4/1/2026   | 3:14:47   | 1.14x
27    | 4/1/2026   | 3:15:52   | 97.08x
28    | 4/1/2026   | 3:16:15   | 3.03x
29    | 4/1/2026   | 3:16:41   | 3.85x
30    | 4/1/2026   | 3:17:02   | 2.64x
31    | 4/1/2026   | 3:17:39   | 8.92x
32    | 4/1/2026   | 3:18:05   | 4.09x
33    | 4/1/2026   | 3:18:24   | 2.09x
34    | 4/1/2026   | 3:18:36   | 1.20x
35    | 4/1/2026   | 3:18:56   | 2.30x
36    | 4/1/2026   | 3:19:21   | 3.55x
37    | 4/1/2026   | 3:19:34   | 1.31x
38    | 4/1/2026   | 3:19:45   | 1.13x
39    | 4/1/2026   | 3:20:05   | 2.44x
40    | 4/1/2026   | 3:20:26   | 2.42x
41    | 4/1/2026   | 3:20:48   | 2.86x
42    | 4/1/2026   | 3:20:59   | 1.06x
43    | 4/1/2026   | 3:21:23   | 3.21x
44    | 4/1/2026   | 3:21:41   | 2.13x
45    | 4/1/2026   | 3:21:59   | 1.88x
46    | 4/1/2026   | 3:22:33   | 7.68x
47    | 4/1/2026   | 3:23:00   | 4.01x
48    | 4/1/2026   | 3:23:32   | 6.35x
49    | 4/1/2026   | 3:24:05   | 6.73x
50    | 4/1/2026   | 3:24:23   | 2.07x
51    | 4/1/2026   | 3:24:54   | 5.67x
52    | 4/1/2026   | 3:25:06   | 1.22x
53    | 4/1/2026   | 3:25:18   | 1.16x
54    | 4/1/2026   | 3:25:37   | 2.31x
55    | 4/1/2026   | 3:25:48   | 1.11x
56    | 4/1/2026   | 3:26:00   | 1.20x
57    | 4/1/2026   | 3:26:19   | 2.12x
58    | 4/1/2026   | 3:26:51   | 6.14x
59    | 4/1/2026   | 3:27:27   | 9.19x
60    | 4/1/2026   | 3:27:54   | 3.97x
61    | 4/1/2026   | 3:28:29   | 8.42x
62    | 4/1/2026   | 3:28:41   | 1.22x
63    | 4/1/2026   | 3:28:55   | 1.33x
64    | 4/1/2026   | 3:29:12   | 1.88x
65    | 4/1/2026   | 3:29:42   | 5.29x
66    | 4/1/2026   | 3:30:12   | 5.58x
67    | 4/1/2026   | 3:30:25   | 1.29x
68    | 4/1/2026   | 3:30:35   | 1.03x
69    | 4/1/2026   | 3:31:03   | 4.61x
70    | 4/1/2026   | 3:31:15   | 1.19x
71    | 4/1/2026   | 3:31:27   | 1.14x
72    | 4/1/2026   | 3:31:50   | 3.13x
73    | 4/1/2026   | 3:32:09   | 2.12x
74    | 4/1/2026   | 3:32:21   | 1.23x
75    | 4/1/2026   | 3:32:33   | 1.14x
76    | 4/1/2026   | 3:33:01   | 4.77x
77    | 4/1/2026   | 3:33:27   | 3.84x
78    | 4/1/2026   | 3:33:40   | 1.26x
79    | 4/1/2026   | 3:34:03   | 3.06x
80    | 4/1/2026   | 3:34:14   | 1.07x
81    | 4/1/2026   | 3:34:38   | 3.45x
82    | 4/1/2026   | 3:34:57   | 2.03x
83    | 4/1/2026   | 3:35:21   | 3.35x
84    | 4/1/2026   | 3:35:31   | 1.03x
85    | 4/1/2026   | 3:35:50   | 2.17x
86    | 4/1/2026   | 3:36:20   | 5.29x
87    | 4/1/2026   | 3:36:41   | 2.62x
88    | 4/1/2026   | 3:37:21   | 12.23x
89    | 4/1/2026   | 3:37:36   | 1.52x
90    | 4/1/2026   | 3:37:48   | 1.18x
91    | 4/1/2026   | 3:37:58   | 1.02x
92    | 4/1/2026   | 3:39:05   | 1.68x
93    | 4/1/2026   | 3:39:11   | 1.23x
94    | 4/1/2026   | 3:39:26   | 1.45x
95    | 4/1/2026   | 3:39:36   | 1.08x
96    | 4/1/2026   | 3:39:58   | 2.78x
97    | 4/1/2026   | 3:40:20   | 2.62x
98    | 4/1/2026   | 3:41:07   | 21.72x
99    | 4/1/2026   | 3:41:18   | 1.11x
100   | 4/1/2026   | 3:42:08   | 4.29x
101   | 4/1/2026   | 3:42:21   | 1.34x
102   | 4/1/2026   | 3:42:38   | 1.75x
103   | 4/1/2026   | 3:42:58   | 2.37x
104   | 4/1/2026   | 3:43:13   | 1.56x
105   | 4/1/2026   | 3:43:25   | 1.16x
106   | 4/1/2026   | 3:43:42   | 1.92x
107   | 4/1/2026   | 3:44:11   | 4.72x
108   | 4/1/2026   | 3:44:34   | 1.35x
109   | 4/1/2026   | 3:44:52   | 2.06x
110   | 4/1/2026   | 3:45:14   | 2.76x
111   | 4/1/2026   | 3:45:31   | 1.81x
112   | 4/1/2026   | 3:46:06   | 7.91x
113   | 4/1/2026   | 3:46:32   | 3.70x
114   | 4/1/2026   | 3:46:45   | 1.40x
115   | 4/1/2026   | 3:47:14   | 4.94x
116   | 4/1/2026   | 3:47:48   | 7.03x
117   | 4/1/2026   | 3:48:01   | 1.37x
118   | 4/1/2026   | 3:48:17   | 1.68x
119   | 4/1/2026   | 3:48:31   | 1.41x
120   | 4/1/2026   | 3:48:59   | 4.71x
121   | 4/1/2026   | 3:49:18   | 2.01x
122   | 4/1/2026   | 3:49:28   | 1.04x
123   | 4/1/2026   | 3:54:17   | 2.26x
124   | 4/1/2026   | 3:54:23   | 5.40x
125   | 4/1/2026   | 3:54:37   | 1.40x
126   | 4/1/2026   | 3:55:02   | 3.76x
127   | 4/1/2026   | 3:55:20   | 1.87x
128   | 4/1/2026   | 3:55:32   | 1.24x
129   | 4/1/2026   | 3:55:56   | 3.18x
130   | 4/1/2026   | 3:56:28   | 6.54x
131   | 4/1/2026   | 3:56:40   | 1.19x
132   | 4/1/2026   | 3:56:54   | 1.41x
133   | 4/1/2026   | 3:57:24   | 5.38x
134   | 4/1/2026   | 3:57:46   | 2.70x
135   | 4/1/2026   | 3:58:24   | 10.78x
136   | 4/1/2026   | 3:58:46   | 2.81x
137   | 4/1/2026   | 3:58:59   | 1.26x
138   | 4/1/2026   | 3:59:11   | 1.15x
139   | 4/1/2026   | 3:59:36   | 3.59x
140   | 4/1/2026   | 3:59:46   | 1.02x
141   | 4/1/2026   | 4:00:31   | 19.38x
142   | 4/1/2026   | 4:00:50   | 2.13x
143   | 4/1/2026   | 4:01:30   | 11.93x
144   | 4/1/2026   | 4:01:51   | 2.68x
145   | 4/1/2026   | 4:02:11   | 2.23x
146   | 4/1/2026   | 4:02:28   | 1.79x
147   | 4/1/2026   | 4:02:47   | 2.29x
148   | 4/1/2026   | 4:03:08   | 2.47x
149   | 4/1/2026   | 4:03:37   | 2.27x
150   | 4/1/2026   | 4:03:57   | 2.24x
151   | 4/1/2026   | 4:04:07   | 1.03x
152   | 4/1/2026   | 4:04:32   | 3.43x
153   | 4/1/2026   | 4:04:42   | 1.05x
154   | 4/1/2026   | 4:05:10   | 4.54x
155   | 4/1/2026   | 4:05:35   | 3.61x
156   | 4/1/2026   | 4:06:01   | 3.82x
------------------------------------------
FIN DEL REPORTE
